iter	Logloss
0	0.6740363961
1	0.6542973162
2	0.6364063034
3	0.6243624045
4	0.6106969407
5	0.5967300318
6	0.5825504225
7	0.5693448362
8	0.5570550113
9	0.5452234452
10	0.5353140472
11	0.52611633
12	0.5187420021
13	0.510268312
14	0.5020900412
15	0.494386419
16	0.4876935332
17	0.4818697043
18	0.4750223151
19	0.4683988759
20	0.4627851419
21	0.4596615262
22	0.4546853219
23	0.4506059469
24	0.445868989
25	0.44221223
26	0.4376115983
27	0.434326011
28	0.4304871682
29	0.4271883288
30	0.4245344394
31	0.4211690774
32	0.4187909064
33	0.4148156657
34	0.41142702
35	0.4084997979
36	0.405504382
37	0.4026828434
38	0.3999086202
39	0.3975715939
40	0.3966146066
41	0.3935227748
42	0.3923876438
43	0.3913119066
44	0.388864471
45	0.3869845435
46	0.3848217459
47	0.3833934962
48	0.3820361545
49	0.3805276156
50	0.3787610558
51	0.3763698131
52	0.3744280206
53	0.3732602682
54	0.3723264952
55	0.36985978
56	0.3679561247
57	0.3668267639
58	0.3656165616
59	0.363488214
60	0.3620781535
61	0.3614010855
62	0.3608527579
63	0.360558418
64	0.3597816646
65	0.3589472826
66	0.358435399
67	0.3576193278
68	0.3564213643
69	0.3559302591
70	0.3555199458
71	0.3546681721
72	0.3536879865
73	0.3531081065
74	0.3527990437
75	0.3516095726
76	0.3497897495
77	0.3491020107
78	0.3487540629
79	0.3483783857
80	0.3480160319
81	0.347666405
82	0.3471048774
83	0.3467268297
84	0.3449320458
85	0.3440681413
86	0.3437378914
87	0.3429411095
88	0.3420062632
89	0.3416886534
90	0.3406579276
91	0.3403196642
92	0.3395961171
93	0.3393010134
94	0.3386451652
95	0.3384199516
96	0.3381906487
97	0.3379479489
98	0.3375693376
99	0.3371975455
100	0.3363658809
101	0.3359462133
102	0.3355577631
103	0.3351813929
104	0.3347495043
105	0.3345273992
106	0.3341356657
107	0.3335245266
108	0.333193665
109	0.3328428702
110	0.3325343153
111	0.3322253348
112	0.3318480128
113	0.3310939448
114	0.3300655991
115	0.3289857501
116	0.3283727707
117	0.3280879799
118	0.3278392987
119	0.3275188663
120	0.3271296364
121	0.3269081798
122	0.3265734123
123	0.3261936631
124	0.3260010099
125	0.3251688473
126	0.3246379642
127	0.3239731394
128	0.3228810573
129	0.322393776
130	0.3220420693
131	0.3217713763
132	0.3211287959
133	0.3208454557
134	0.3205589023
135	0.3202680832
136	0.3199875534
137	0.3196362259
138	0.319469831
139	0.319227994
140	0.3187790483
141	0.3184562353
142	0.3181684478
143	0.3178720071
144	0.3175470966
145	0.3172916452
146	0.3167129374
147	0.3164214483
148	0.3160998557
149	0.3158849596
150	0.3155418174
151	0.3153767048
152	0.3150748157
153	0.3147985932
154	0.3141499852
155	0.3139398099
156	0.313583048
157	0.3132590923
158	0.3129363651
159	0.3126465085
160	0.3124004634
161	0.3122545226
162	0.3120974957
163	0.311809616
164	0.3115681028
165	0.3113044561
166	0.3109697828
167	0.3106500988
168	0.3102335269
169	0.3099212944
170	0.3096515505
171	0.3093963913
172	0.309228374
173	0.3089715639
174	0.3086589602
175	0.3083646902
176	0.308181569
177	0.3079015606
178	0.307661987
179	0.3073263894
180	0.3071573905
181	0.3069745672
182	0.3066350026
183	0.3063245812
184	0.3060436167
185	0.3057733627
186	0.3055252148
187	0.3051224027
188	0.3047763556
189	0.3044247108
190	0.3041881234
191	0.3039462712
192	0.3036366887
193	0.3033688338
194	0.3020622052
195	0.3017656102
196	0.301524013
197	0.301220354
198	0.3009351322
199	0.3007327948
200	0.300365969
201	0.3000690308
202	0.2998049058
203	0.2993899412
204	0.2991474647
205	0.2988526391
206	0.2985807051
207	0.2982703419
208	0.2980040867
209	0.2977183215
210	0.2974140575
211	0.2971445065
212	0.2968271392
213	0.2965643249
214	0.2962448482
215	0.2958771986
216	0.2956273137
217	0.2952937602
218	0.2950016491
219	0.2947893699
220	0.2945084363
221	0.2941771025
222	0.293810349
223	0.2934312882
224	0.2926845902
225	0.2923225269
226	0.2920565133
227	0.2914888951
228	0.2911919529
229	0.2908977404
230	0.290545381
231	0.290195651
232	0.2898265612
233	0.2894615344
234	0.2891489582
235	0.2888721108
236	0.2885127793
237	0.2881527444
238	0.2878312075
239	0.2874760277
240	0.2871047101
241	0.2867319356
242	0.286426293
243	0.2860691153
244	0.2857335373
245	0.2853719113
246	0.2850093185
247	0.2846736346
248	0.2843362733
249	0.2839969338
