iter	Passed	Remaining
0	8	2018
1	15	1945
2	22	1818
3	28	1742
4	36	1769
5	42	1729
6	50	1744
7	56	1706
8	63	1695
9	69	1678
10	76	1658
11	83	1651
12	85	1563
13	92	1555
14	99	1553
15	103	1512
16	109	1505
17	117	1509
18	123	1507
19	131	1511
20	137	1501
21	143	1491
22	150	1483
23	153	1448
24	161	1452
25	165	1424
26	172	1421
27	177	1405
28	184	1403
29	191	1401
30	198	1404
31	205	1400
32	213	1401
33	220	1398
34	226	1392
35	233	1389
36	240	1382
37	247	1381
38	253	1373
39	260	1370
40	267	1364
41	274	1358
42	281	1353
43	287	1347
44	295	1346
45	302	1340
46	309	1336
47	316	1331
48	323	1326
49	330	1321
50	337	1316
51	344	1313
52	351	1306
53	358	1302
54	365	1296
55	372	1290
56	379	1286
57	384	1273
58	392	1269
59	399	1265
60	407	1262
61	414	1257
62	421	1252
63	429	1249
64	436	1242
65	444	1238
66	451	1233
67	459	1230
68	466	1224
69	474	1219
70	481	1213
71	488	1206
72	495	1200
73	501	1193
74	504	1178
75	509	1166
76	516	1159
77	523	1153
78	529	1146
79	536	1139
80	542	1131
81	548	1123
82	556	1119
83	562	1111
84	569	1105
85	576	1099
86	582	1091
87	589	1085
88	596	1078
89	603	1072
90	609	1065
91	616	1058
92	623	1053
93	630	1046
94	637	1040
95	644	1034
96	651	1027
97	658	1021
98	665	1015
99	673	1009
100	680	1003
101	687	997
102	694	990
103	701	984
104	707	977
105	714	970
106	721	964
107	727	957
108	732	947
109	739	941
110	746	934
111	753	927
112	759	920
113	766	914
114	772	906
115	778	899
116	786	893
117	792	886
118	799	880
119	805	872
120	812	865
121	819	859
122	825	852
123	832	846
124	839	839
125	845	831
126	852	825
127	858	818
128	865	811
129	871	804
130	878	798
131	885	791
132	892	784
133	899	778
134	906	771
135	913	765
136	919	758
137	926	751
138	931	743
139	938	737
140	945	730
141	951	723
142	958	717
143	965	710
144	972	703
145	979	697
146	986	691
147	994	685
148	1001	678
149	1008	672
150	1015	666
151	1018	656
152	1025	649
153	1032	643
154	1048	642
155	1054	635
156	1062	629
157	1068	622
158	1074	615
159	1081	608
160	1088	601
161	1091	592
162	1097	586
163	1104	579
164	1111	572
165	1117	565
166	1124	559
167	1131	552
168	1138	545
169	1145	539
170	1153	532
171	1160	526
172	1166	519
173	1172	512
174	1179	505
175	1185	498
176	1192	491
177	1198	484
178	1204	477
179	1211	471
180	1217	464
181	1220	456
182	1228	449
183	1234	442
184	1241	436
185	1248	429
186	1255	422
187	1262	416
188	1269	409
189	1277	403
190	1283	396
191	1306	394
192	1313	387
193	1320	381
194	1327	374
195	1334	367
196	1341	360
197	1348	354
198	1355	347
199	1361	340
200	1368	333
201	1375	326
202	1382	320
203	1390	313
204	1397	306
205	1404	299
206	1410	293
207	1417	286
208	1424	279
209	1430	272
210	1437	265
211	1442	258
212	1448	251
213	1456	244
214	1462	238
215	1469	231
216	1475	224
217	1481	217
218	1488	210
219	1492	203
220	1498	196
221	1505	189
222	1511	183
223	1518	176
224	1525	169
225	1532	162
226	1539	155
227	1545	149
228	1553	142
229	1559	135
230	1566	128
231	1572	122
232	1579	115
233	1586	108
234	1592	101
235	1599	94
236	1606	88
237	1612	81
238	1619	74
239	1625	67
240	1632	60
241	1639	54
242	1646	47
243	1653	40
244	1660	33
245	1667	27
246	1674	20
247	1680	13
248	1687	6
249	1693	0
